id,created_at,title_en,title_so,title_ar,content_en,content_so,content_ar,image_url,video_url,category
art_001,2023-05-13 21:22:44,Sample English Title 1,Tusmo Soomaali 1,عنوان عربي 1,This is a sample English content for article 1.,Kani waa qoraal tijaabo Soomaali ah oo ku saabsan maqaal 1.,هذا نص تجريبي باللغة العربية للمقال 1.,https://example.com/images/article_1.jpg,https://example.com/videos/article_1.mp4,Education
art_002,2023-03-14 20:13:16,Sample English Title 2,Tusmo Soomaali 2,عنوان عربي 2,This is a sample English content for article 2.,Kani waa qoraal tijaabo Soomaali ah oo ku saabsan maqaal 2.,هذا نص تجريبي باللغة العربية للمقال 2.,https://example.com/images/article_2.jpg,https://example.com/videos/article_2.mp4,Health
art_003,2024-02-03 16:36:27,Sample English Title 3,Tusmo Soomaali 3,عنوان عربي 3,This is a sample English content for article 3.,Kani waa qoraal tijaabo Soomaali ah oo ku saabsan maqaal 3.,هذا نص تجريبي باللغة العربية للمقال 3.,https://example.com/images/article_3.jpg,https://example.com/videos/article_3.mp4,Technology
art_004,2025-02-10 12:07:42,Sample English Title 4,Tusmo Soomaali 4,عنوان عربي 4,This is a sample English content for article 4.,Kani waa qoraal tijaabo Soomaali ah oo ku saabsan maqaal 4.,هذا نص تجريبي باللغة العربية للمقال 4.,https://example.com/images/article_4.jpg,https://example.com/videos/article_4.mp4,Sports
art_005,2024-09-21 00:58:16,Sample English Title 5,Tusmo Soomaali 5,عنوان عربي 5,This is a sample English content for article 5.,Kani waa qoraal tijaabo Soomaali ah oo ku saabsan maqaal 5.,هذا نص تجريبي باللغة العربية للمقال 5.,https://example.com/images/article_5.jpg,https://example.com/videos/article_5.mp4,Culture
art_006,2025-05-04 04:55:21,Sample English Title 6,Tusmo Soomaali 6,عنوان عربي 6,This is a sample English content for article 6.,Kani waa qoraal tijaabo Soomaali ah oo ku saabsan maqaal 6.,هذا نص تجريبي باللغة العربية للمقال 6.,https://example.com/images/article_6.jpg,https://example.com/videos/article_6.mp4,Education
art_007,2024-08-03 05:38:35,Sample English Title 7,Tusmo Soomaali 7,عنوان عربي 7,This is a sample English content for article 7.,Kani waa qoraal tijaabo Soomaali ah oo ku saabsan maqaal 7.,هذا نص تجريبي باللغة العربية للمقال 7.,https://example.com/images/article_7.jpg,https://example.com/videos/article_7.mp4,Culture
art_008,2023-09-12 08:01:14,Sample English Title 8,Tusmo Soomaali 8,عنوان عربي 8,This is a sample English content for article 8.,Kani waa qoraal tijaabo Soomaali ah oo ku saabsan maqaal 8.,هذا نص تجريبي باللغة العربية للمقال 8.,https://example.com/images/article_8.jpg,https://example.com/videos/article_8.mp4,Education
art_009,2023-03-30 18:25:07,Sample English Title 9,Tusmo Soomaali 9,عنوان عربي 9,This is a sample English content for article 9.,Kani waa qoraal tijaabo Soomaali ah oo ku saabsan maqaal 9.,هذا نص تجريبي باللغة العربية للمقال 9.,https://example.com/images/article_9.jpg,https://example.com/videos/article_9.mp4,Politics
art_010,2024-09-17 09:08:53,Sample English Title 10,Tusmo Soomaali 10,عنوان عربي 10,This is a sample English content for article 10.,Kani waa qoraal tijaabo Soomaali ah oo ku saabsan maqaal 10.,هذا نص تجريبي باللغة العربية للمقال 10.,https://example.com/images/article_10.jpg,https://example.com/videos/article_10.mp4,Education
art_011,2023-10-20 16:36:48,Sample English Title 11,Tusmo Soomaali 11,عنوان عربي 11,This is a sample English content for article 11.,Kani waa qoraal tijaabo Soomaali ah oo ku saabsan maqaal 11.,هذا نص تجريبي باللغة العربية للمقال 11.,https://example.com/images/article_11.jpg,https://example.com/videos/article_11.mp4,Culture
art_012,2025-04-14 16:47:18,Sample English Title 12,Tusmo Soomaali 12,عنوان عربي 12,This is a sample English content for article 12.,Kani waa qoraal tijaabo Soomaali ah oo ku saabsan maqaal 12.,هذا نص تجريبي باللغة العربية للمقال 12.,https://example.com/images/article_12.jpg,https://example.com/videos/article_12.mp4,Sports
art_013,2024-07-25 11:51:04,Sample English Title 13,Tusmo Soomaali 13,عنوان عربي 13,This is a sample English content for article 13.,Kani waa qoraal tijaabo Soomaali ah oo ku saabsan maqaal 13.,هذا نص تجريبي باللغة العربية للمقال 13.,https://example.com/images/article_13.jpg,https://example.com/videos/article_13.mp4,Sports
art_014,2023-05-15 06:12:40,Sample English Title 14,Tusmo Soomaali 14,عنوان عربي 14,This is a sample English content for article 14.,Kani waa qoraal tijaabo Soomaali ah oo ku saabsan maqaal 14.,هذا نص تجريبي باللغة العربية للمقال 14.,https://example.com/images/article_14.jpg,https://example.com/videos/article_14.mp4,Health
art_015,2023-08-26 07:02:32,Sample English Title 15,Tusmo Soomaali 15,عنوان عربي 15,This is a sample English content for article 15.,Kani waa qoraal tijaabo Soomaali ah oo ku saabsan maqaal 15.,هذا نص تجريبي باللغة العربية للمقال 15.,https://example.com/images/article_15.jpg,https://example.com/videos/article_15.mp4,Health
art_016,2024-09-12 15:00:45,Sample English Title 16,Tusmo Soomaali 16,عنوان عربي 16,This is a sample English content for article 16.,Kani waa qoraal tijaabo Soomaali ah oo ku saabsan maqaal 16.,هذا نص تجريبي باللغة العربية للمقال 16.,https://example.com/images/article_16.jpg,https://example.com/videos/article_16.mp4,Culture
art_017,2023-02-28 16:49:15,Sample English Title 17,Tusmo Soomaali 17,عنوان عربي 17,This is a sample English content for article 17.,Kani waa qoraal tijaabo Soomaali ah oo ku saabsan maqaal 17.,هذا نص تجريبي باللغة العربية للمقال 17.,https://example.com/images/article_17.jpg,https://example.com/videos/article_17.mp4,Politics
art_018,2025-07-27 20:40:07,Sample English Title 18,Tusmo Soomaali 18,عنوان عربي 18,This is a sample English content for article 18.,Kani waa qoraal tijaabo Soomaali ah oo ku saabsan maqaal 18.,هذا نص تجريبي باللغة العربية للمقال 18.,https://example.com/images/article_18.jpg,https://example.com/videos/article_18.mp4,Culture
art_019,2023-02-24 03:52:57,Sample English Title 19,Tusmo Soomaali 19,عنوان عربي 19,This is a sample English content for article 19.,Kani waa qoraal tijaabo Soomaali ah oo ku saabsan maqaal 19.,هذا نص تجريبي باللغة العربية للمقال 19.,https://example.com/images/article_19.jpg,https://example.com/videos/article_19.mp4,Education
art_020,2024-04-06 08:19:00,Sample English Title 20,Tusmo Soomaali 20,عنوان عربي 20,This is a sample English content for article 20.,Kani waa qoraal tijaabo Soomaali ah oo ku saabsan maqaal 20.,هذا نص تجريبي باللغة العربية للمقال 20.,https://example.com/images/article_20.jpg,https://example.com/videos/article_20.mp4,Education
